bg_id,county,state,cbsa,county_fips,state_fips,cbsa_fips,cbsa_type,updated,population,housing_units,land_acres,protected_acres,tribal_acres,zonable_acres,num_jurisdictions,num_published,num_haszoning,num_haszoning_missingdocs,zoned_acres,unzoned_acres,num_districts,primarily_residential_acres,nonresidential_acres,mixed_with_residential_acres,all_residential_acres,family1_allowed_acres,family1_hearing_acres,family1_prohibited_acres,family2_allowed_acres,family2_hearing_acres,family2_prohibited_acres,family3_allowed_acres,family3_hearing_acres,family3_prohibited_acres,family4_allowed_acres,family4_hearing_acres,family4_prohibited_acres,family1_only_acres,family1_mls_no_min_lot_size_acres,family1_mls_under_10k_sqft_acres,family1_mls_10k_to_19999_sqft_acres,family1_mls_20k_to_39999_sqft_acres,family1_mls_40k_to_79999_sqft_acres,family1_mls_80k_sqft_and_more_acres,family1_mls_varies_acres,adu_allowed_acres,adu_allowed_restricted_acres,adu_hearing_acres,adu_hearing_restricted_acres,adu_prohibited_acres,parking_required_acres
330199753002,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,855,441,3520,64,0,3455,1,1,1,0,3266.16,189.84,5,0,0,3266.16,3266.16,3266.16,0,0,3266.16,0,0,0,533.44,2732.72,0,533.44,2732.72,0,0,0,0,214.29,3051.87,0,0,0,0,0,3266.16,0,3266.16
330199753003,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,734,614,4407,318,0,4089,1,1,1,0,4278.35,-189.35,5,1892.53,400.17,1985.65,3878.18,3878.18,0,0,3878.18,0,0,0,404.02,3474.16,0,404.02,3474.16,0,0,0,0,44.59,1933.84,1899.75,0,0,0,0,3870.96,7.22,3878.1
330199753004,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,727,652,1688,167,0,1522,1,1,1,0,2407.18,-886.18,5,0,1006.04,1401.14,1401.14,1401.14,0,0,1401.14,0,0,0,185.12,1216.01,0,185.12,1216.01,0,0,0,0,70.26,1330.87,0,0,0,0,0,1401.14,0,1401.14
330199753001,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1100,874,3431,12,0,3419,1,1,1,0,4456.17,-1037.17,3,1.36,1230.2,3224.61,3225.97,3225.97,0,0,3225.86,0,0.1,0,405.71,2820.26,0,405.71,2820.26,0.1,0.1,0,0,70.48,3154.02,1.36,0,0,0,0.1,3225.86,0,3225.97
330199754011,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1187,630,1978,225,0,1754,1,1,1,0,1814.13,-61.13,4,347.07,3.79,1463.27,1810.34,1753.58,56.75,0,52.47,56.75,1701.12,0,98.05,1712.29,0,98.05,1712.29,1701.12,1742.41,0,11.18,0,0,0,0,0,0,1753.58,0,0,1810.34
330199754012,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,871,437,1987,0,0,1987,1,1,1,0,1885.31,101.69,4,29.34,483.78,1372.19,1401.53,1353.53,48,0,14.37,48,1339.16,0,62.18,1339.35,0,62.18,1339.35,1339.16,1353.29,0,0,0.05,0.19,0,0,0,0,1353.29,0.24,0,1401.53
330199754013,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1218,523,800,56,0,744,1,1,1,0,672.08,71.92,5,153.37,1.04,517.67,671.04,564.95,106.09,0,18.32,106.09,546.63,0,113.87,557.17,0,113.87,557.17,546.63,554.42,0,10.53,0,0,0,0,0,0,564.95,0,0,671.04
330199751001,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1816,834,26775,707,0,26068,1,1,1,0,25615.77,452.23,2,0,2.76,25613.01,25613.01,25613.01,0,0,219.09,25393.51,0.41,0,25612.52,0.49,0,25612.52,0.49,25393.92,0,0,0,0,46.89,25566.12,0,0,25612.93,0,0.08,0,25613.01
330199751002,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,830,310,17084,224,0,16860,1,1,1,0,16536.52,323.48,5,2070.23,5764.39,8701.91,10772.13,10772.13,0,0,6468.45,0.62,4303.06,0,6468.95,4303.18,0,6468.95,4303.18,4303.68,573.51,0,0,0,0,10198.62,0,0,10772.01,0,0.12,0,10772.13
330199751003,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1692,747,16184,196,0,15988,1,1,1,0,15925.67,62.33,5,8163.31,404.09,7358.27,15521.57,15521.57,0,0,4987.4,1.13,10533.04,0,4988.53,10533.04,0,4988.53,10533.04,10534.18,912.73,0,0,0,0,14608.84,0,0,15521.57,0,0,0,15521.57
