tract_id,county,state,cbsa,county_fips,state_fips,cbsa_fips,cbsa_type,updated,population,housing_units,land_acres,protected_acres,tribal_acres,zonable_acres,num_jurisdictions,num_published,num_haszoning,num_haszoning_missingdocs,zoned_acres,unzoned_acres,num_districts,primarily_residential_acres,nonresidential_acres,mixed_with_residential_acres,all_residential_acres,family1_allowed_acres,family1_hearing_acres,family1_prohibited_acres,family2_allowed_acres,family2_hearing_acres,family2_prohibited_acres,family3_allowed_acres,family3_hearing_acres,family3_prohibited_acres,family4_allowed_acres,family4_hearing_acres,family4_prohibited_acres,family1_only_acres,family1_mls_no_min_lot_size_acres,family1_mls_under_10k_sqft_acres,family1_mls_10k_to_19999_sqft_acres,family1_mls_20k_to_39999_sqft_acres,family1_mls_40k_to_79999_sqft_acres,family1_mls_80k_sqft_and_more_acres,family1_mls_varies_acres,adu_allowed_acres,adu_allowed_restricted_acres,adu_hearing_acres,adu_hearing_restricted_acres,adu_prohibited_acres,parking_required_acres
33019975100,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,4338,1891,60043,1127,0,58916,3,3,3,0,58077.96,838.0400000000001,12,10233.54,6171.240000000001,41673.19,51906.71,51906.71,0,0,11674.939999999999,25395.26,14836.510000000002,0,37070,14836.710000000001,0,37070,14836.710000000001,40231.78,1486.24,0,0,0,46.89,50373.58,0,0,51906.51,0,0.2,0,51906.71
33019975200,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,5385,3407,67170,7747,0,59423,5,5,5,0,57628.61,1794.3899999999999,17,13742.57,14125.54,29760.48,43503.06,43474.99,0,28.07,39608.31,0.07,3894.6800000000003,0,16282.109999999999,27220.940000000002,0,16282.109999999999,27220.940000000002,3866.6800000000003,1.44,0,30.89,0,23237.16,20205.49,0,0,0.07,1.44,30360.08,13113.41,24403.739999999998
33019975300,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,3416,2581,13046,561,0,12485,4,4,4,0,14407.86,-1922.8600000000001,18,1893.8899999999999,2636.41,9877.56,11771.449999999999,11771.449999999999,0,0,11771.34,0,0.1,0,1528.29,10243.15,0,1528.29,10243.15,0.1,0.1,0,0,399.62,9470.6,1901.11,0,0,0,0.1,11764.12,7.22,11771.369999999999
33019975401,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,3276,1590,4765,281,0,4485,3,3,3,0,4371.52,112.47999999999999,13,529.78,488.60999999999996,3353.13,3882.91,3672.06,210.84,0,85.16,210.84,3586.91,0,274.1,3608.81,0,274.1,3608.81,3586.91,3650.12,0,21.71,0.05,0.19,0,0,0,0,3671.8199999999997,0.24,0,3882.91
33019975402,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,3099,1415,22635,70,0,22565,3,3,3,0,21985.730000000003,579.27,14,696.02,515.97,20773.73,21469.760000000002,21426.62,43.14,0,99.85,43.43000000000001,21326.46,0,57.59,21412.17,0,57.59,21412.17,21326.760000000002,20751.010000000002,0,64.79,0.01,0.36,610.45,0,0,0,21403.719999999998,2.33,20.56,21468.230000000003
33019975500,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,3203,2067,62908,7654,0,55253,3,3,2,0,35536.07,19717.93,4,12385.699999999999,0,23150.379999999997,35536.07,35203.590000000004,332.49,0,12719.89,388.33000000000004,22427.86,0,13052.359999999999,22483.71,0,13052.359999999999,22483.71,22483.7,0.01,0,0,0,0.35000000000000003,35203.22,0,0,22427.85,0.01,12775.73,0,35480.23
33019975600,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,3031,1472,58099,3016,0,55084,3,3,3,0,53045,2038,5,0.26,0,53044.74,53045,53045,0,0,30705.76,22339.02,0.22,0,21294.56,31750.440000000002,0,21294.56,31750.440000000002,22339.239999999998,4.45,0,0,0,1042.8500000000001,51997.7,0,0,0,0.22,43629.35,9415.42,9416.12
33019975700,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,4889,1826,22588,1489,0,21099,4,4,4,0,20162.39,936.61,10,0,199.56,19962.84,19962.84,19962.84,0,0,19959.5,3.17,0.17,0,19955.850000000002,7,0,19955.850000000002,7,3.34,19414.52,0,409.65,0,130.3,8.38,0,0,0,0,5.63,19957.21,19958.14
33019975800,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,4849,1959,7143,126,0,7017,5,5,5,0,6704.35,312.65,26,1189,293.26,5222.1,6411.09,6410.12,0.98,0,202.89,3855.39,2352.79,151.65,243.82999999999998,6015.63,0,395.46999999999997,6015.63,6207.2300000000005,0.26,38.85,1269.74,12.149999999999999,2490.7,2598.4300000000003,0,0,0,0,5905.37,504.75,6411.09
33019975901,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,3972,1940,13913,201,0,13711,4,4,4,0,13324.43,387.57,20,323.47,0.28,13000.68,13324.15,13293.58,30.57,0,336.09000000000003,12609.07,378.98,141.01,272.4,12910.73,0,413.41999999999996,12910.73,12957.48,2.9,195.54,376.08,14.110000000000001,4433.84,8271.1,0,0,2.18,2.9,13288.5,0,13324.15
33019975902,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,4257,1810,6270,246,0,6024,4,4,4,0,5837.45,186.55,17,278.58,0,5558.87,5837.45,5808.14,29.31,0,263.59000000000003,5294.64,279.23,134.66,239.23,5463.56,0,373.89,5463.56,5544.55,0.23,150.83,320.64,15.31,1611.54,3709.58,0,0,0,0.65,5807.49,0,5835.75
