bg_id,county,state,cbsa,county_fips,state_fips,cbsa_fips,cbsa_type,updated,population,housing_units,land_acres,protected_acres,tribal_acres,zonable_acres,num_jurisdictions,num_published,num_haszoning,num_haszoning_missingdocs,zoned_acres,unzoned_acres,num_districts,primarily_residential_acres,nonresidential_acres,mixed_with_residential_acres,all_residential_acres,family1_allowed_acres,family1_hearing_acres,family1_prohibited_acres,family2_allowed_acres,family2_hearing_acres,family2_prohibited_acres,family3_allowed_acres,family3_hearing_acres,family3_prohibited_acres,family4_allowed_acres,family4_hearing_acres,family4_prohibited_acres,family1_only_acres,family1_mls_no_min_lot_size_acres,family1_mls_under_10k_sqft_acres,family1_mls_10k_to_19999_sqft_acres,family1_mls_20k_to_39999_sqft_acres,family1_mls_40k_to_79999_sqft_acres,family1_mls_80k_sqft_and_more_acres,family1_mls_varies_acres,adu_allowed_acres,adu_allowed_restricted_acres,adu_hearing_acres,adu_hearing_restricted_acres,adu_prohibited_acres,parking_required_acres,protected_pct,tribal_pct,zonable_pct,zoned_pct,unzoned_pct,primarily_residential_pct,nonresidential_pct,mixed_with_residential_pct,all_residential_pct,family1_allowed_pct,family1_hearing_pct,family1_prohibited_pct,family2_allowed_pct,family2_hearing_pct,family2_prohibited_pct,family3_allowed_pct,family3_hearing_pct,family3_prohibited_pct,family4_allowed_pct,family4_hearing_pct,family4_prohibited_pct,family1_only_pct,family1_mls_no_min_lot_size_pct,family1_mls_under_10k_sqft_pct,family1_mls_10k_to_19999_sqft_pct,family1_mls_20k_to_39999_sqft_pct,family1_mls_40k_to_79999_sqft_pct,family1_mls_80k_sqft_and_more_pct,family1_mls_varies_pct,adu_allowed_pct,adu_allowed_restricted_pct,adu_hearing_pct,adu_hearing_restricted_pct,adu_prohibited_pct,parking_required_pct
330019654001,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1090,611,4420,30,0,4391,2,2,2,0,3962.86,427.14,5,3834.8,0,128.05,3962.86,3962.86,0,0,0,0,3962.86,0,128.02,3834.84,0,128.02,3834.84,3962.86,0,0,0,128.02,213.12,3621.71,0,0,3834.84,0,0,128.02,0.09,0.68,0,99.34,89.66,9.66,96.77,0,3.23,100,100,0,0,0,0,100,0,3.23,96.77,0,3.23,96.77,100,0,0,0,3.23,5.38,91.39,0,0,96.77,0,0,3.23,0
330019654002,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1963,943,25610,228,0,25382,5,5,5,0,24592.69,789.31,5,23894.94,492.55,205.19,24100.13,24100.13,0,0,0,2.46,24097.68,0,198.66,23901.47,0,198.66,23901.47,24100.13,0.02,0,0,196.21,944.89,22959.01,0,0,23892.04,0,11.44,196.65,11.89,0.89,0,99.11,96.03,3.08,97.16,2,0.83,98,100,0,0,0,0.01,99.99,0,0.82,99.18,0,0.82,99.18,100,0,0,0,0.81,3.92,95.27,0,0,99.14,0,0.05,0.82,0.05
330019659004,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,2043,725,386,1,0,385,2,2,2,0,327.31,57.69,5,282.79,34.62,9.91,292.7,292.7,0,0,46.19,0,246.5,0,46.19,246.5,0,46.19,246.5,246.5,0,9.91,282.79,0,0,0,0,0,0,0,292.7,0,292.7,0.26,0,99.74,84.8,14.95,86.4,10.58,3.03,89.43,100,0,0,15.78,0,84.22,0,15.78,84.22,0,15.78,84.22,84.22,0,3.39,96.61,0,0,0,0,0,0,0,100,0,100
330019659001,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,887,562,469,0,0,469,3,3,3,0,392.9,76.1,8,52.6,108.11,232.2,284.8,284.8,0,0,55.2,0,229.6,0,55.2,229.6,0,55.2,229.6,229.6,0,9.7,50.66,0,1.94,0,222.5,0,1.94,0,282.86,0,284.8,0,0,100,83.77,16.23,13.39,27.52,59.1,72.49,100,0,0,19.38,0,80.62,0,19.38,80.62,0,19.38,80.62,80.62,0,3.41,17.79,0,0.68,0,78.12,0,0.68,0,99.32,0,100
330019659002,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,487,244,50,0,0,50,1,1,1,0,38.05,11.95,3,29.48,0,8.57,38.05,38.05,0,0,38.05,0,0,0,38.05,0,0,38.05,0,0,0,9.61,28.44,0,0,0,0,0,0,0,38.05,0,38.05,0,0,100,76.1,23.9,77.48,0,22.52,100,100,0,0,100,0,0,0,100,0,0,100,0,0,0,25.26,74.74,0,0,0,0,0,0,0,100,0,100
330019659003,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,771,554,91,1,0,90,1,1,1,0,71.39,18.61,4,18.37,1.19,51.82,70.2,70.2,0,0,67.11,0,3.09,0,67.11,3.09,0,67.11,3.09,3.09,0,51.82,18.37,0,0,0,0,0,0,0,70.2,0,70.2,1.1,0,98.9,78.45,20.45,25.73,1.67,72.59,98.33,100,0,0,95.6,0,4.4,0,95.6,4.4,0,95.6,4.4,4.4,0,73.82,26.17,0,0,0,0,0,0,0,100,0,100
330019653001,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,777,589,11038,1203,0,9835,3,3,3,0,9567.48,267.52,4,17.33,35.22,9514.93,9532.25,9532.25,0,0,428.62,3217.83,5885.8,0,449.08,9083.17,0,449.08,9083.17,9103.63,400.26,0,407.35,21.27,2817.57,5885.8,0,0,0.02,0,9532.23,0,9532.23,10.9,0,89.1,86.68,2.42,0.18,0.37,99.45,99.63,100,0,0,4.5,33.76,61.75,0,4.71,95.29,0,4.71,95.29,95.5,4.2,0,4.27,0.22,29.56,61.75,0,0,0,0,100,0,100
330019653002,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1384,782,4430,184,0,4246,2,2,2,0,4017.4,228.6,6,0.69,24.16,3992.55,3993.24,3767.67,0,225.58,1360.2,2406.74,226.3,0,1360.2,2633.04,0,1360.2,2633.04,2407.47,0.37,0,855.25,0,2042.53,0.69,868.83,0,0,0,3767.67,0,3767.67,4.15,0,95.85,90.69,5.16,0.02,0.6,99.38,99.4,94.35,0,5.65,34.06,60.27,5.67,0,34.06,65.94,0,34.06,65.94,60.29,0.01,0,22.7,0,54.21,0.02,23.06,0,0,0,100,0,94.35
330019653003,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1336,744,904,10,0,895,3,3,3,0,827.38,66.62,5,0.31,12.68,814.39,814.7,814.23,0,0.47,276.89,537.34,0.47,0,276.89,537.8,0,276.89,537.8,537.34,467.12,0,152.76,0,0,0,194.35,0,0.01,0,814.22,0,814.23,1.11,0,99,91.52,7.37,0.04,1.53,98.43,98.47,99.94,0,0.06,33.99,65.96,0.06,0,33.99,66.01,0,33.99,66.01,65.96,57.37,0,18.76,0,0,0,23.87,0,0,0,100,0,99.94
330019651001,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,955,744,8293,5,0,8289,5,5,5,0,8007.75,280.25,3,7629.75,0.11,377.89,8007.64,8007.64,0,0,10.17,7997.47,0,0,7623.5,384.14,0,7623.5,384.14,7997.47,7987.09,0,1.7,0,18.83,0,0.02,0,7987.07,8.47,12.09,0,7999.42,0.06,0,99.95,96.56,3.38,95.28,0,4.72,100,100,0,0,0.13,99.87,0,0,95.2,4.8,0,95.2,4.8,99.87,99.74,0,0.02,0,0.24,0,0,0,99.74,0.11,0.15,0,99.9
