tract_id,county,state,cbsa,county_fips,state_fips,cbsa_fips,cbsa_type,updated,population,housing_units,land_acres,protected_acres,tribal_acres,zonable_acres,num_jurisdictions,num_published,num_haszoning,num_haszoning_missingdocs,zoned_acres,unzoned_acres,num_districts,primarily_residential_acres,nonresidential_acres,mixed_with_residential_acres,all_residential_acres,family1_allowed_acres,family1_hearing_acres,family1_prohibited_acres,family2_allowed_acres,family2_hearing_acres,family2_prohibited_acres,family3_allowed_acres,family3_hearing_acres,family3_prohibited_acres,family4_allowed_acres,family4_hearing_acres,family4_prohibited_acres,family1_only_acres,family1_mls_no_min_lot_size_acres,family1_mls_under_10k_sqft_acres,family1_mls_10k_to_19999_sqft_acres,family1_mls_20k_to_39999_sqft_acres,family1_mls_40k_to_79999_sqft_acres,family1_mls_80k_sqft_and_more_acres,family1_mls_varies_acres,adu_allowed_acres,adu_allowed_restricted_acres,adu_hearing_acres,adu_hearing_restricted_acres,adu_prohibited_acres,parking_required_acres,protected_pct,tribal_pct,zonable_pct,zoned_pct,unzoned_pct,primarily_residential_pct,nonresidential_pct,mixed_with_residential_pct,all_residential_pct,family1_allowed_pct,family1_hearing_pct,family1_prohibited_pct,family2_allowed_pct,family2_hearing_pct,family2_prohibited_pct,family3_allowed_pct,family3_hearing_pct,family3_prohibited_pct,family4_allowed_pct,family4_hearing_pct,family4_prohibited_pct,family1_only_pct,family1_mls_no_min_lot_size_pct,family1_mls_under_10k_sqft_pct,family1_mls_10k_to_19999_sqft_pct,family1_mls_20k_to_39999_sqft_pct,family1_mls_40k_to_79999_sqft_pct,family1_mls_80k_sqft_and_more_pct,family1_mls_varies_pct,adu_allowed_pct,adu_allowed_restricted_pct,adu_hearing_pct,adu_hearing_restricted_pct,adu_prohibited_pct,parking_required_pct
33001965100,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,3464,1884,31646,1041,0,30605,14,14,14,0,29352.13,1252.87,10,27094.11,239.27999999999997,2018.7400000000002,29112.86,29112.84,0,0.02,220.35999999999999,28891.44,1.06,0,28725.88,386.96999999999997,0,28725.88,386.96999999999997,28892.48,7988.01,0,1.7,350.99,20769.13,1.05,1.97,0,7988.889999999999,8.47,21115.469999999998,0,29103.55,3.29,0,96.71,92.75,3.96,92.31,0.82,6.88,99.18,100,0,0,0.76,99.24,0,0,98.67,1.33,0,98.67,1.33,99.24,27.44,0,0.01,1.21,71.34,0,0.01,0,27.44,0.03,72.53,0,99.97
33001965200,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,3261,2926,8546,713,0,7833,6,6,6,0,7549.88,283.12,14,1972.99,137.10999999999999,5439.76,7412.76,7412.76,0,0,1701.02,5711.74,0,0,1701.77,5710.99,0,1701.77,5710.99,5711.74,2633.0099999999998,0,1576.38,0,1028.47,1972.24,202.65,0,1.85,0,7410.91,0,7412.76,8.34,0,91.66,88.34,3.31,26.13,1.82,72.05,98.18,100,0,0,22.95,77.05,0,0,22.96,77.04,0,22.96,77.04,77.05,35.52,0,21.27,0,13.87,26.61,2.73,0,0.02,0,99.98,0,100
33001965300,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,3497,2115,16372,1397,0,14976,8,8,8,0,14412.26,562.74,15,18.33,72.06,14321.87,14340.19,14114.15,0,226.05,2065.71,6161.91,6112.570000000001,0,2086.17,12254.01,0,2086.17,12254.01,12048.439999999999,867.75,0,1415.3600000000001,21.27,4860.1,5886.49,1063.18,0,0.03,0,14114.119999999999,0,14114.13,8.53,0,91.47,88.03,3.44,0.13,0.5,99.37,99.5,98.42,0,1.58,14.41,42.97,42.63,0,14.55,85.45,0,14.55,85.45,84.02,6.15,0,10.03,0.15,34.43,41.71,7.53,0,0,0,100,0,98.42
33001965400,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,3053,1554,30030,258,0,29773,7,7,7,0,28555.55,1216.4499999999998,10,27729.739999999998,492.55,333.24,28062.99,28062.99,0,0,0,2.46,28060.54,0,326.68,27736.31,0,326.68,27736.31,28062.99,0.02,0,0,324.23,1158.01,26580.719999999998,0,0,27726.88,0,11.44,324.67,11.98,0.86,0,99.14,95.09,4.05,97.11,1.72,1.17,98.28,100,0,0,0,0.01,99.99,0,1.16,98.84,0,1.16,98.84,100,0,0,0,1.16,4.13,94.72,0,0,98.8,0,0.04,1.16,0.04
33001965598,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,4063,1975,7084,62,0,7022,10,10,10,0,6541.75,480.25,16,4527.87,966.91,1046.96,5574.84,5556.35,0.12,18.37,512.66,0,5062.18,0,512.6,5062.24,0,512.6,5062.24,5062.18,1.95,0,232.54000000000002,261.57,1882.8,3177.48,0,0,5554.29,0,0,2.06,5571.18,0.88,0,99.12,92.35,6.78,69.21,14.78,16,85.22,99.67,0,0.33,9.2,0,90.8,0,9.19,90.81,0,9.19,90.81,90.8,0.04,0,4.19,4.71,33.89,57.19,0,0,99.96,0,0,0.04,99.93
33001965600,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,4026,2346,36154,1141,0,35013,12,12,12,0,34143.86,869.14,11,26031.39,3.75,8108.71,34140.11,34140.06,0.05,0,34135.53,2.57,2.01,0,26475.93,7664.17,0,26475.93,7664.17,4.52,3.79,0,0,0,1663.6799999999998,32472.58,0,0,34109.76,0,30.3,0,34140.11,3.16,0,96.84,94.44,2.4,76.24,0.01,23.75,99.99,100,0,0,99.99,0.01,0.01,0,77.55,22.45,0,77.55,22.45,0.01,0.01,0,0,0,4.87,95.12,0,0,99.91,0,0.09,0,100
33001965700,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,4994,2378,26541,299,0,26241,7,7,7,0,25261.79,980.21,8,1356.33,0,23905.46,25261.79,25261.79,0,0,1586.81,23669.510000000002,5.46,0,3.66,25258.12,0,2.99,25258.8,23674.97,0.67,0,0,0,2.73,25258.38,0,0,9.12,0,23899.32,1353.34,25261.11,1.13,0,98.87,95.18,3.69,5.37,0,94.63,100,100,0,0,6.28,93.7,0.02,0,0.01,99.99,0,0.01,99.99,93.72,0,0,0,0,0.01,99.99,0,0,0.04,0,94.61,5.36,100
33001965801,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,3405,1775,8509,216,0,8292,5,5,5,0,7995.4,297.6,10,2418.49,1147.47,4429.450000000001,6847.93,6847.93,0,0,4524.02,0,2323.91,0,117.17,6730.77,0,117.17,6730.77,2323.91,0,0.09,0.03,22.5,2418.46,4406.85,0,0,2440.96,0,4406.969999999999,0,6847.93,2.54,0,97.45,93.96,3.5,30.25,14.35,55.4,85.65,100,0,0,66.06,0,33.94,0,1.71,98.29,0,1.71,98.29,33.94,0,0,0,0.33,35.32,64.35,0,0,35.65,0,64.35,0,100
33001965802,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,3987,1901,10203,108,0,10095,9,9,9,0,9734.04,360.96000000000004,14,1163.68,1137.81,7432.54,8596.22,8596.22,0,0,7922.13,0,674.09,0,748.7,7847.53,0,748.7,7847.53,674.09,0,0,0,258.40000000000003,1164.15,7173.469999999999,0.21,0,1430.3999999999999,0,7165.820000000001,0,8590.26,1.06,0,98.94,95.4,3.54,11.95,11.69,76.36,88.31,100,0,0,92.16,0,7.84,0,8.71,91.29,0,8.71,91.29,7.84,0,0,0,3.01,13.54,83.45,0,0,16.64,0,83.36,0,99.93
33001965900,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,4188,2085,996,2,0,994,7,7,7,0,829.65,164.35,20,383.24,143.92,302.5,685.75,685.75,0,0,206.55,0,479.19,0,206.55,479.19,0,206.55,479.19,479.19,0,81.03999999999999,380.26,0,1.94,0,222.5,0,1.94,0,683.81,0,685.75,0.2,0,99.8,83.3,16.5,46.19,17.35,36.46,82.66,100,0,0,30.12,0,69.88,0,30.12,69.88,0,30.12,69.88,69.88,0,11.82,55.45,0,0.28,0,32.45,0,0.28,0,99.72,0,100
